epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.7674,1.59063,2.86647,1.50695,0.62435,0.21916,0.21866,0.11064,1.54027,4.04818,1.32815,0.000297283,0.000297283,0.000297283
2,17.8523,1.46012,2.0524,1.25742,0.26353,0.41292,0.28252,0.14476,1.75624,5.26639,1.56912,0.00059434,0.00059434,0.00059434
3,26.9422,1.44739,1.94964,1.33606,0.72731,0.13464,0.25684,0.13868,1.7873,3.20317,1.53125,0.000885398,0.000885398,0.000885398
4,35.7114,1.56304,1.94047,1.35974,0.34938,0.29229,0.09199,0.05184,1.88013,25.4296,1.68767,0.000882003,0.000882003,0.000882003
5,44.1831,1.59829,1.8008,1.36464,0.54864,0.19583,0.1887,0.09887,1.75411,8.26476,1.69295,0.000873004,0.000873004,0.000873004
6,52.7383,1.51256,1.62096,1.3794,0.54014,0.22027,0.2793,0.1523,1.94644,2.91705,1.80234,0.000864004,0.000864004,0.000864004
7,61.7087,1.47011,1.57638,1.36123,0.12046,0.31831,0.09538,0.05927,1.76011,inf,1.69151,0.000855005,0.000855005,0.000855005
8,69.8663,1.39874,1.43198,1.29119,0.3018,0.15178,0.15624,0.08973,1.80037,135.724,1.69977,0.000846006,0.000846006,0.000846006
9,79.3178,1.47598,1.45034,1.30406,4e-05,0.00118,2e-05,1e-05,4.21246,inf,37.0632,0.000837007,0.000837007,0.000837007
10,87.9438,1.42824,1.41389,1.28078,0.61354,0.26518,0.28589,0.14817,2.1249,2.61331,1.8203,0.000828008,0.000828008,0.000828008
11,96.6075,1.41735,1.44167,1.33263,0.52464,0.45071,0.42689,0.2249,1.57561,1.65002,1.42952,0.000819009,0.000819009,0.000819009
12,105.498,1.3759,1.30108,1.2591,0.69931,0.36458,0.46681,0.28339,1.59979,1.55938,1.47407,0.00081001,0.00081001,0.00081001
