epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.6039,1.08166,0.94264,1.24514,0.6408,0.62499,0.5954,0.3141,1.53699,1.38333,1.59882,0.000297283,0.000297283,0.000297283
2,24.4991,1.10034,0.87436,1.17664,0.61459,0.4847,0.59806,0.35431,1.52041,1.28427,1.5973,0.00059434,0.00059434,0.00059434
3,35.722,1.0475,0.9356,1.19433,0.397,0.60849,0.55527,0.3011,1.71514,1.66558,1.68323,0.000885398,0.000885398,0.000885398
4,46.7877,1.12265,1.00973,1.2318,0.73241,0.48888,0.61456,0.33608,1.55695,1.43906,1.65143,0.000882003,0.000882003,0.000882003
5,57.951,1.13468,0.95395,1.19926,0.50898,0.56323,0.55448,0.2859,1.58586,1.64149,1.66854,0.000873004,0.000873004,0.000873004
6,69.1178,1.10567,0.93413,1.22496,0.60518,0.54311,0.53876,0.30391,1.58725,1.54162,1.64627,0.000864004,0.000864004,0.000864004
7,80.6152,1.09579,0.94828,1.21823,0.49489,0.51534,0.53881,0.29722,1.553,1.43881,1.61128,0.000855005,0.000855005,0.000855005
8,92.0025,1.06312,0.8794,1.15949,0.60862,0.51034,0.52823,0.31359,1.55591,1.49106,1.60237,0.000846006,0.000846006,0.000846006
9,103.28,1.08525,0.86663,1.16496,0.78661,0.44221,0.53255,0.3105,1.51587,1.4521,1.59919,0.000837007,0.000837007,0.000837007
10,114.542,1.03587,0.90176,1.17155,0.63467,0.6395,0.68369,0.39617,1.46865,1.17834,1.63795,0.000828008,0.000828008,0.000828008
11,125.998,1.05094,0.92289,1.21323,0.65987,0.5408,0.63447,0.39844,1.52627,1.29437,1.6169,0.000819009,0.000819009,0.000819009
12,137.717,1.05307,0.85196,1.17207,0.70302,0.56532,0.63734,0.39625,1.53363,1.28001,1.65282,0.00081001,0.00081001,0.00081001
13,148.998,0.98976,0.77759,1.12367,0.70438,0.65246,0.71174,0.39973,1.57411,1.28757,1.67001,0.000801011,0.000801011,0.000801011
14,160.353,0.98457,0.75387,1.12099,0.66058,0.67278,0.71057,0.43064,1.51128,1.21218,1.60495,0.000792012,0.000792012,0.000792012
15,171.956,1.06421,0.83013,1.18848,0.61295,0.56269,0.65086,0.38423,1.57661,1.25108,1.64352,0.000783013,0.000783013,0.000783013
